Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -55 sec
1,-33.7477689226819,151.333799896167,2010-10-07 14:18:00,Other,150,0,1,0
1,-33.747474284726,151.333865986181,2010-10-07 14:18:06,Blow,150,0,1,0
1,-33.7468850088142,151.33399816621,2010-10-07 14:18:18,Blow,166,0,1,0
1,-33.7457555633166,151.334251511265,2010-10-07 14:18:41,Blow,217,0,1,0
1,-33.7453627127087,151.334339631284,2010-10-07 14:18:49,-,239,0,1,0
1,-33.7417288445858,151.33515474146,2010-10-07 14:20:03,Tail Swipe,176,0,1,0
1,-33.7413851003039,151.335231846477,2010-10-07 14:20:10,Other,150,0,1,0
1,-33.7409471791897,151.339884756039,2010-10-07 14:21:31,Blow,291,0,1,0
1,-33.7409363663227,151.339999642695,2010-10-07 14:21:33,Tail Swipe,293,0,1,0
1,-33.7408771788086,151.340140221922,2010-10-07 14:21:37,Other,290,0,1,0
1,-33.7408623819301,151.340175366729,2010-10-07 14:21:38,Blow,290,0,1,0
1,-33.7407883975374,151.340351090763,2010-10-07 14:21:43,Blow,285,0,1,0
1,-33.7406700225091,151.340632249218,2010-10-07 14:21:51,Blow,273,0,1,0
1,-33.7404776630882,151.341089131707,2010-10-07 14:22:04,Blow,250,0,1,0
1,-33.7406439407454,151.340797454707,2010-10-07 14:22:14,Blow,238,0,1,0
1,-33.7408268461684,151.340476610007,2010-10-07 14:22:25,Other,203,0,1,0
1,-33.7408601016999,151.340418274607,2010-10-07 14:22:27,Blow,200,0,1,0
1,-33.74090873909,151.340514277767,2010-10-07 14:22:34,Blow,181,0,1,0
1,-33.7409851692745,151.340665139875,2010-10-07 14:22:45,Other,138,0,1,0
1,-33.7412561490196,151.341200014621,2010-10-07 14:23:24,Blow,81,1,0,0
1,-33.7413186828069,151.341323447255,2010-10-07 14:23:33,-,87,1,0,1
1,-33.7414229057858,151.341529168311,2010-10-07 14:23:48,-,98,1,0,1
1,-33.7419787616731,151.342626347278,2010-10-07 14:25:08,Breach,188,0,1,1
1,-33.7420273990632,151.342722350437,2010-10-07 14:25:15,Blow,200,0,1,1
1,-33.7417549938297,151.342663950613,2010-10-07 14:25:33,-,191,0,1,1
1,-33.7414825885961,151.342605550789,2010-10-07 14:25:51,Breach,178,0,1,1
1,-33.7413766532275,151.342582839746,2010-10-07 14:25:58,Blow,173,0,1,1
1,-33.7413622183834,151.342449892313,2010-10-07 14:26:14,Blow,178,0,1,1
1,-33.7413604140279,151.342433273884,2010-10-07 14:26:16,Blow,179,0,1,1
1,-33.7413459791838,151.342300326451,2010-10-07 14:26:32,-,188,0,1,1
1,-33.7413432726506,151.342275398807,2010-10-07 14:26:35,Blow,189,0,1,1
1,-33.7413328242264,151.342214647828,2010-10-07 14:26:37,Blow,189,0,1,1
1,-33.7412440126213,151.341698264503,2010-10-07 14:26:54,-,202,0,1,1
1,-33.7406850219299,151.338448087109,2010-10-07 14:28:41,-,179,0,1,1
1,-33.7404551565989,151.337111565564,2010-10-07 14:29:25,Other,204,0,1,1
1,-33.7403924660541,151.336747059688,2010-10-07 14:29:37,-,218,0,1,1
1,-33.7403767934179,151.336655933219,2010-10-07 14:29:40,Blow,223,0,1,1
1,-33.7403558965696,151.336534431261,2010-10-07 14:29:44,Blow,232,0,1,1
1,-33.7403617951978,151.336655354174,2010-10-07 14:29:49,Blow,223,0,1,1
