Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction 0 sec
1,-33.8630014967391,151.300283524246,2010-06-18 10:26:56,Blow,1200,0,0,1
1,-33.8606630998379,151.301618103119,2010-06-18 10:28:27,Blow,300,0,1,0
1,-33.8610352569211,151.301684424587,2010-06-18 10:28:40,Blow,284,0,1,0
1,-33.8615219238762,151.301771152659,2010-06-18 10:28:57,Arch Dive,260,0,1,0
1,-33.861196857175,151.301840290936,2010-06-18 10:29:27,Arch Dive,150,0,1,0
1,-33.8580762168442,151.302504018395,2010-06-18 10:34:15,Blow,150,0,1,0
1,-33.8576804616177,151.302206230923,2010-06-18 10:34:28,Blow,175,0,1,0
1,-33.8568530209729,151.302037543278,2010-06-18 10:34:43,Blow,224,0,1,0
1,-33.8566058344997,151.302067285621,2010-06-18 10:34:55,Blow,214,0,1,0
1,-33.8562968514081,151.302104463549,2010-06-18 10:35:10,Fluke Up Dive,210,0,1,0
1,-33.8557959484338,151.302210121568,2010-06-18 10:35:27,Fluke Up Dive,209,0,1,0
1,-33.8494052501432,151.303347316565,2010-06-18 10:41:06,Blow,500,0,0,1
1,-33.8491077037567,151.303209980226,2010-06-18 10:41:16,Blow,500,0,0,1
1,-33.8516039085363,151.302217003368,2010-06-18 10:41:28,Blow,173,0,1,0
1,-33.8526439938611,151.30180326301,2010-06-18 10:41:33,Blow,65,1,0,0
1,-33.8543081303809,151.301141278438,2010-06-18 10:41:41,Blow,233,0,1,0
1,-33.8483782205583,151.303936730558,2010-06-18 10:42:00,Blow,400,0,0,1
1,-33.8482866678239,151.303982504427,2010-06-18 10:42:01,Arch Dive,400,0,0,1
1,-33.8479708669319,151.304901383577,2010-06-18 10:42:18,Arch Dive,400,0,0,1
1,-33.8479708669319,151.304901383577,2010-06-18 10:42:18,Blow,400,0,0,1
1,-33.847468847607,151.304991061276,2010-06-18 10:42:35,Blow,356,0,0,1
1,-33.8477302717824,151.305423986845,2010-06-18 10:42:44,Fluke Up Dive,327,0,0,1
1,-33.8424802674226,151.307662093016,2010-06-18 10:47:57,Blow,300,0,0,1
1,-33.8424802674226,151.307662093016,2010-06-18 10:47:57,Blow,300,0,0,1
1,-33.8420848543204,151.307576840923,2010-06-18 10:48:15,Blow,304,0,0,1
1,-33.8418432129801,151.307524742422,2010-06-18 10:48:26,Blow,300,0,1,0
1,-33.8419460145923,151.307628948855,2010-06-18 10:48:29,Blow,300,0,0,1
1,-33.8418568222669,151.308012204681,2010-06-18 10:48:49,Blow,300,0,0,1
1,-33.8413870304635,151.308528836313,2010-06-18 10:49:05,Blow,320,0,0,1
1,-33.8410773779352,151.308886141493,2010-06-18 10:49:24,Arch Dive,320,0,0,1
1,-33.8410773779352,151.308886141493,2010-06-18 10:49:24,Fluke Up Dive,320,0,0,1
1,-33.839337429901,151.309598419546,2010-06-18 10:51:07,-,183,0,1,0
1,-33.8371368415305,151.310693634753,2010-06-18 10:53:20,Blow,165,0,1,0
1,-33.8371368415305,151.310693634753,2010-06-18 10:53:20,Blow,165,0,1,0
1,-33.8367640805666,151.310791668333,2010-06-18 10:53:38,Blow,169,0,1,0
1,-33.8366145174622,151.310971872225,2010-06-18 10:53:54,Arch Dive,189,0,1,0
1,-33.8363883497536,151.311089000655,2010-06-18 10:54:04,Fluke Up Dive,190,0,1,0
1,-33.8305815162039,151.313486640656,2010-06-18 10:59:41,Blow,300,0,1,0
1,-33.8285628746923,151.31271506902,2010-06-18 10:59:53,Blow,300,0,0,1
1,-33.8307680921488,151.313625391655,2010-06-18 11:00:02,Blow,300,0,0,1
1,-33.8306727247172,151.313701682064,2010-06-18 11:00:06,Blow,300,0,0,1
1,-33.8305452359039,151.314268894269,2010-06-18 11:00:26,Blow,300,0,1,0
1,-33.8305143132529,151.314339573464,2010-06-18 11:00:28,Blow,300,0,0,1
1,-33.8301615778971,151.314561530356,2010-06-18 11:00:48,Blow,250,0,1,0
1,-33.8297807894776,151.315446291518,2010-06-18 11:01:05,Fluke Up Dive,261,0,1,0
1,-33.8296855861663,151.315325940391,2010-06-18 11:01:08,Fluke Up Dive,240,0,1,0
1,-33.8245505263495,151.317313583355,2010-06-18 11:05:25,Blow,175,0,1,0
1,-33.8245505263495,151.317313583355,2010-06-18 11:05:25,Blow,175,0,1,0
1,-33.8242498394353,151.317572598206,2010-06-18 11:05:55,Arch Dive,153,0,1,0
1,-33.8242002483708,151.317618373613,2010-06-18 11:05:58,Blow,153,0,1,0
1,-33.8239801837951,151.31768947738,2010-06-18 11:06:07,Blow,137,0,1,0
1,-33.8236498748707,151.317672730951,2010-06-18 11:06:22,Fluke Up Dive,103,0,1,0
1,-33.8236498748707,151.317672730951,2010-06-18 11:06:22,Blow,103,0,1,0
1,-33.8215339713352,151.318659576728,2010-06-18 11:08:05,Blow,147,0,1,0
1,-33.819212640272,151.319742232775,2010-06-18 11:09:58,Blow,300,0,0,1
1,-33.8191554198131,151.319726972152,2010-06-18 11:10:02,Blow,300,0,0,1
1,-33.8187968382705,151.319665925504,2010-06-18 11:10:20,Blow,300,0,0,1
1,-33.8191629546975,151.320180890989,2010-06-18 11:10:40,Fluke Up Dive,308,0,0,1
1,-33.8188527691553,151.320210257239,2010-06-18 11:10:53,Fluke Up Dive,301,0,0,1
1,-33.8170155163289,151.320384195798,2010-06-18 11:12:10,-,136,0,1,1
1,-33.816419005671,151.320440669356,2010-06-18 11:12:35,Blow,123,0,1,1
1,-33.8164795091301,151.320351350772,2010-06-18 11:12:37,Arch Dive,108,0,1,1
1,-33.8162461205571,151.320458879356,2010-06-18 11:12:50,Fluke Up Dive,110,0,1,1
1,-33.8161007778665,151.320496893231,2010-06-18 11:12:58,Fluke Up Dive,112,0,1,1
1,-33.810777601824,151.321889151417,2010-06-18 11:17:51,-,217,0,1,2
1,-33.8099720395164,151.322163856704,2010-06-18 11:18:32,Blow,184,0,2,1
1,-33.8099720395164,151.322163856704,2010-06-18 11:18:32,Blow,184,0,2,1
1,-33.8098817424012,151.322558370431,2010-06-18 11:18:52,Fluke Up Dive,164,0,2,1
1,-33.8098567076404,151.322531163816,2010-06-18 11:18:58,Fluke Up Dive,151,0,2,1
1,-33.8042812982664,151.323204152456,2010-06-18 11:24:38,Blow,200,0,1,2
1,-33.8040845191121,151.323227904997,2010-06-18 11:24:50,Arch Dive,189,0,1,2
1,-33.8038385451691,151.323257595672,2010-06-18 11:25:05,Blow,150,0,1,2
1,-33.8030892023847,151.323343274005,2010-06-18 11:25:17,Blow,178,0,1,2
1,-33.8030892023847,151.323343274005,2010-06-18 11:25:17,Blow,178,0,1,2
1,-33.8027413652469,151.323422171694,2010-06-18 11:25:38,Blow,137,0,1,2
1,-33.802262421373,151.323997091289,2010-06-18 11:26:03,Blow,134,0,1,2
1,-33.802262421373,151.323997091289,2010-06-18 11:26:03,Fluke Up Dive,134,0,1,2
1,-33.7959902021337,151.326066693548,2010-06-18 11:30:48,Blow,366,0,0,3
1,-33.7959177228857,151.326051432638,2010-06-18 11:30:51,Blow,368,0,0,3
1,-33.7958987719695,151.326531680277,2010-06-18 11:31:15,Blow,307,0,0,3
1,-33.7958987719695,151.326531680277,2010-06-18 11:31:15,Arch Dive,307,0,0,3
1,-33.7955647403807,151.326705314661,2010-06-18 11:31:36,Blow,295,0,1,2
1,-33.7959342722237,151.326396487217,2010-06-18 11:31:45,Blow,251,0,2,1
1,-33.7957969431222,151.326533813143,2010-06-18 11:31:49,Blow,251,0,2,1
1,-33.7947797921455,151.326956418271,2010-06-18 11:33:02,Fluke Up Dive,114,0,2,1
1,-33.7947797921455,151.326956418271,2010-06-18 11:33:02,Blow,114,0,2,1
1,-33.7924007977852,151.327704048252,2010-06-18 11:35:28,Blow,50,1,1,1
1,-33.7913614025945,151.327948454537,2010-06-18 11:36:06,Arch Dive,108,0,2,1
1,-33.7913614025945,151.327948454537,2010-06-18 11:36:06,Fluke Up Dive,108,0,2,1
1,-33.7868345906825,151.328363225799,2010-06-18 11:39:27,Blow,355,0,0,3
1,-33.7868345906825,151.328363225799,2010-06-18 11:39:27,Blow,355,0,0,3
1,-33.7862623860928,151.328210629179,2010-06-18 11:39:51,Blow,389,0,0,3
1,-33.7863500926864,151.329213306834,2010-06-18 11:40:13,Blow,283,0,1,2
1,-33.7859817270636,151.329081804013,2010-06-18 11:40:31,Fluke Up Dive,288,0,1,2
1,-33.7859817270636,151.329081804013,2010-06-18 11:40:31,Blow,288,0,1,2
1,-33.7829690742464,151.329615835495,2010-06-18 11:43:27,Arch Dive,49,1,1,1
1,-33.7813623981947,151.329991894073,2010-06-18 11:45:00,-,165,0,2,1
1,-33.7799975873551,151.330311341681,2010-06-18 11:46:19,Blow,156,0,2,1
1,-33.7789924774615,151.33019025573,2010-06-18 11:46:36,Blow,248,0,1,2
1,-33.7789100004265,151.330485707616,2010-06-18 11:46:44,Arch Dive,238,0,1,2
