Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -16 sec
2,-33.843435811963,151.319899825777,2010-07-25 10:15:00,-,152,0,1,0
1,-33.8457846889938,151.335680885194,2010-07-25 10:15:09,Blow,1500,0,0,1
1,-33.8448648145789,151.33553104393,2010-07-25 10:15:24,-,1303,0,0,1
1,-33.8444355398519,151.335461118007,2010-07-25 10:15:31,Blow,1200,0,0,1
1,-33.8457810130907,151.336251354776,2010-07-25 10:15:53,Blow,996,0,0,1
1,-33.8458421709652,151.336287274629,2010-07-25 10:15:54,Blow,1000,0,0,1
1,-33.8456291584036,151.336306678302,2010-07-25 10:16:09,-,222,0,2,1
1,-33.8443936855464,151.336419219606,2010-07-25 10:17:36,-,55,1,2,1
1,-33.8434848319502,151.33650200861,2010-07-25 10:18:40,-,70,1,2,1
1,-33.8429167984527,151.336553751738,2010-07-25 10:19:20,-,89,1,1,3
1,-33.842022145694,151.336635247164,2010-07-25 10:20:23,Blow,116,0,3,2
1,-33.8417949322949,151.336655944415,2010-07-25 10:20:39,Blow,107,0,3,2
1,-33.8416955421954,151.336590792369,2010-07-25 10:20:47,Blow,105,0,3,2
1,-33.8416458471457,151.336558216346,2010-07-25 10:20:51,Blow,104,0,2,3
1,-33.8412507502212,151.336749003263,2010-07-25 10:21:00,-,66,1,2,2
1,-33.8412068505629,151.33677020181,2010-07-25 10:21:01,Fluke Up Dive,64,1,2,2
1,-33.8414407305893,151.336645545583,2010-07-25 10:21:05,Arch Dive,94,1,3,2
1,-33.8412507596157,151.336666096358,2010-07-25 10:21:18,-,81,1,3,1
1,-33.8398186707383,151.336821017579,2010-07-25 10:22:56,-,32,1,3,1
1,-33.8392925972731,151.336877927416,2010-07-25 10:23:32,Blow,42,1,2,1
1,-33.8392487578177,151.336882669902,2010-07-25 10:23:35,Blow,43,1,2,1
1,-33.83900294758,151.336918591757,2010-07-25 10:23:50,Blow,64,1,2,1
1,-33.838822686739,151.33694493445,2010-07-25 10:24:01,Blow,76,1,2,1
1,-33.8386068213413,151.336941471723,2010-07-25 10:24:14,Fluke Up Dive,88,1,2,1
1,-33.83853384269,151.336913863289,2010-07-25 10:24:15,Fluke Up Dive,94,1,2,1
1,-33.8382889411541,151.336943331472,2010-07-25 10:24:30,-,103,0,3,1
1,-33.8370644334745,151.337090672387,2010-07-25 10:25:45,-,114,0,3,1
1,-33.8354317565683,151.337287126941,2010-07-25 10:27:25,-,118,0,3,1
1,-33.8345174575009,151.337397141491,2010-07-25 10:28:21,-,117,0,3,1
1,-33.8336521387406,151.337501262404,2010-07-25 10:29:14,Blow,118,0,3,1
1,-33.8334277269944,151.337476948608,2010-07-25 10:29:27,-,104,0,3,1
1,-33.8332686245321,151.337524034897,2010-07-25 10:29:34,Blow,110,0,3,1
1,-33.8332686245321,151.337524034897,2010-07-25 10:29:34,Blow,110,0,3,1
1,-33.8330071075094,151.337552265864,2010-07-25 10:29:55,Blow,95,1,2,1
1,-33.8328415683198,151.337435764324,2010-07-25 10:30:09,-,84,1,2,1
1,-33.8327942714085,151.337402478169,2010-07-25 10:30:13,Blow,81,1,2,1
1,-33.8326078790667,151.337498566715,2010-07-25 10:30:21,Blow,91,1,2,1
1,-33.8324378611356,151.337404743583,2010-07-25 10:30:31,Blow,86,1,2,1
1,-33.8319159584437,151.337752471123,2010-07-25 10:30:58,-,125,0,3,1
1,-33.8318841629569,151.337758214616,2010-07-25 10:31:00,Fluke Up Dive,124,0,3,2
1,-33.8318841629569,151.337758214616,2010-07-25 10:31:00,Blow,124,0,3,2
1,-33.831633625036,151.337800382605,2010-07-25 10:31:18,-,131,0,3,1
1,-33.8311186304209,151.337887061249,2010-07-25 10:31:55,-,127,0,2,2
1,-33.8304783668452,151.337994823888,2010-07-25 10:32:41,-,120,0,2,2
1,-33.8296571592156,151.338133041185,2010-07-25 10:33:40,-,119,0,3,1
1,-33.8288081140393,151.338275943815,2010-07-25 10:34:41,-,77,1,2,1
1,-33.8273048865139,151.33852895175,2010-07-25 10:36:29,Blow,62,2,0,1
1,-33.8266915972639,151.338125809686,2010-07-25 10:36:46,Blow,100,1,1,1
1,-33.8259155702051,151.33802286785,2010-07-25 10:37:03,Fluke Up Dive,131,0,2,1
1,-33.825785643562,151.338018248205,2010-07-25 10:37:13,-,69,1,2,1
1,-33.824733237753,151.337980829087,2010-07-25 10:38:34,-,87,2,1,0
1,-33.8233820006649,151.337932784786,2010-07-25 10:40:18,-,60,1,2,0
1,-33.8233300300077,151.337930936928,2010-07-25 10:40:22,Blow,60,1,2,0
1,-33.8233170373434,151.337930474964,2010-07-25 10:40:23,Blow,60,1,2,0
1,-33.8231145278922,151.337883250221,2010-07-25 10:40:34,-,56,1,2,0
1,-33.8229856582414,151.337853198112,2010-07-25 10:40:41,Blow,56,1,2,0
1,-33.8230103163443,151.337784430811,2010-07-25 10:40:44,Blow,48,1,2,0
1,-33.8228622217092,151.337715993948,2010-07-25 10:40:58,Blow,47,1,2,0
1,-33.8228622217092,151.337715993948,2010-07-25 10:40:58,Blow,47,1,2,0
1,-33.8226244347561,151.337661072424,2010-07-25 10:41:12,-,60,1,2,0
1,-33.8226074499738,151.337657149458,2010-07-25 10:41:13,Blow,60,1,2,0
1,-33.8225462199518,151.337616927805,2010-07-25 10:41:19,Blow,59,1,2,0
1,-33.8220556408948,151.337663901512,2010-07-25 10:41:40,Blow,85,1,2,0
1,-33.8215629950667,151.337452162808,2010-07-25 10:42:04,Blow,80,2,1,0
1,-33.8213639729737,151.337517600808,2010-07-25 10:42:14,-,83,2,1,0
1,-33.821125146462,151.337596126409,2010-07-25 10:42:26,Blow,90,1,2,0
1,-33.8210093568159,151.337547613302,2010-07-25 10:42:37,Blow,85,1,2,0
1,-33.8204550312836,151.337705669962,2010-07-25 10:43:12,-,114,0,2,1
1,-33.8200432466026,151.337823083481,2010-07-25 10:43:38,-,124,0,2,1
1,-33.8185386487294,151.338252094416,2010-07-25 10:45:13,Blow,82,1,1,1
1,-33.8178867569326,151.338479587084,2010-07-25 10:45:33,-,46,1,1,1
1,-33.8178215677529,151.338502336351,2010-07-25 10:45:35,Fluke Up Dive,46,1,2,0
1,-33.8178809307633,151.338705633405,2010-07-25 10:45:45,Arch Dive,49,1,2,0
1,-33.8178017730604,151.338825606453,2010-07-25 10:45:56,-,56,1,2,0
1,-33.8177801845959,151.338858326375,2010-07-25 10:45:59,Blow,53,1,2,0
1,-33.8177154192026,151.338956486141,2010-07-25 10:46:08,-,44,1,3,0
1,-33.8174203768554,151.339403658411,2010-07-25 10:46:49,Blow,35,1,2,0
1,-33.8174203768554,151.339403658411,2010-07-25 10:46:49,Blow,35,1,2,0
1,-33.8172597499817,151.339356088866,2010-07-25 10:47:06,Blow,58,1,2,0
1,-33.8171512030169,151.339364057896,2010-07-25 10:47:16,-,71,1,2,0
1,-33.8169341090874,151.339379995956,2010-07-25 10:47:36,Blow,51,1,2,0
1,-33.8169341090874,151.339379995956,2010-07-25 10:47:36,Fluke Up Dive,51,1,2,0
1,-33.8168009461565,151.339359244432,2010-07-25 10:47:44,-,51,1,2,0
1,-33.8164513934627,151.33930477168,2010-07-25 10:48:05,Blow,57,1,2,0
1,-33.8164347480964,151.33930217774,2010-07-25 10:48:06,Arch Dive,57,2,1,0
1,-33.8162715853529,151.339286056073,2010-07-25 10:48:16,-,62,3,1,0
1,-33.8158636784942,151.339245751906,2010-07-25 10:48:41,Blow,74,3,0,0
1,-33.8158174627851,151.339157814371,2010-07-25 10:48:44,Fluke Up Dive,74,3,0,0
1,-33.8157900987664,151.339271329532,2010-07-25 10:48:50,Arch Dive,75,2,1,0
