Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -55 sec
1,-33.9455906298288,151.303235582702,2010-06-19 14:20:00,Blow,1000,0,0,1
1,-33.9458010242962,151.30269806959,2010-06-19 14:20:21,-,905,0,0,1
1,-33.9478548750491,151.297450917783,2010-06-19 14:23:46,Blow,500,0,0,1
1,-33.947692929758,151.296708357449,2010-06-19 14:24:02,Blow,500,0,0,1
1,-33.947692929758,151.296708357449,2010-06-19 14:24:02,Blow,500,0,0,1
1,-33.9478842392428,151.29625814011,2010-06-19 14:24:24,Blow,398,0,0,1
1,-33.9478842392428,151.29625814011,2010-06-19 14:24:24,Blow,398,0,0,1
1,-33.9480494610706,151.295869316045,2010-06-19 14:24:43,Blow,307,0,0,1
1,-33.9480755487276,151.295807922772,2010-06-19 14:24:46,Blow,300,0,0,1
1,-33.9471431170061,151.294932724075,2010-06-19 14:25:07,Blow,289,0,1,0
1,-33.9471431170061,151.294932724075,2010-06-19 14:25:07,Blow,289,0,1,0
1,-33.9469211094534,151.294724343433,2010-06-19 14:25:12,Blow,300,0,0,1
1,-33.9470044275474,151.295263196642,2010-06-19 14:25:24,Fluke Up Dive,200,0,1,0
2,-33.9374001136517,151.29577131218,2010-06-19 14:34:06,Blow,48,1,0,2
2,-33.9366284830726,151.296005349383,2010-06-19 14:34:25,Blow,85,1,0,2
2,-33.9365472588011,151.296029984878,2010-06-19 14:34:27,Blow,90,1,0,2
2,-33.9364254223939,151.29606693812,2010-06-19 14:34:30,Fluke Up Dive,97,1,0,2
2,-33.9360599131722,151.296177797847,2010-06-19 14:34:39,Blow,118,0,1,2
2,-33.936111862692,151.296491795909,2010-06-19 14:34:52,Blow,126,0,1,2
2,-33.9361198549258,151.296540103303,2010-06-19 14:34:54,Blow,127,0,1,2
2,-33.9361238510427,151.296564257,2010-06-19 14:34:55,Blow,128,0,1,2
2,-33.9361278471596,151.296588410697,2010-06-19 14:34:56,Blow,129,0,1,2
2,-33.9361638122117,151.296805793971,2010-06-19 14:35:05,Blow,139,0,1,2
2,-33.9361718044455,151.296854101365,2010-06-19 14:35:07,Blow,142,0,1,2
2,-33.9362117656146,151.297095638336,2010-06-19 14:35:17,Arch Dive,156,0,2,1
2,-33.9362117656146,151.297095638336,2010-06-19 14:35:17,Arch Dive,156,0,2,1
2,-33.9363609281262,151.29732999174,2010-06-19 14:35:30,Blow,172,0,2,1
2,-33.9359988789435,151.297537264003,2010-06-19 14:35:46,Blow,174,0,2,1
2,-33.9359536227957,151.297563173036,2010-06-19 14:35:48,Fluke Up Dive,175,0,2,1
2,-33.9359104583149,151.29754947988,2010-06-19 14:35:52,Fluke Up Dive,170,0,2,1
2,-33.9357378003916,151.297494707257,2010-06-19 14:36:08,Blow,150,0,2,1
2,-33.9353862639532,151.29756794954,2010-06-19 14:36:19,Arch Dive,149,0,2,1
2,-33.9353122234034,151.297605724531,2010-06-19 14:36:26,Blow,147,0,2,1
2,-33.9353122234034,151.297605724531,2010-06-19 14:36:26,Blow,147,0,2,1
2,-33.9351435237919,151.297772985345,2010-06-19 14:36:29,Fluke Up Dive,161,0,2,1
2,-33.9349992574075,151.297802758833,2010-06-19 14:36:39,Fluke Up Dive,157,0,2,1
2,-33.9357947427432,151.298179989852,2010-06-19 14:36:44,Fluke Up Dive,164,0,2,1
2,-33.9352640142844,151.298006894608,2010-06-19 14:36:55,Fluke Up Dive,148,0,3,0
2,-33.9347478315105,151.298282870022,2010-06-19 14:37:38,-,145,0,3,2
2,-33.9333073214438,151.299053033967,2010-06-19 14:39:38,Blow,201,0,3,2
2,-33.9332713086921,151.299072288066,2010-06-19 14:39:41,Blow,199,0,3,2
2,-33.9332593044415,151.299078706099,2010-06-19 14:39:42,Blow,200,0,3,2
2,-33.9332352959404,151.299091542165,2010-06-19 14:39:44,Blow,200,0,3,2
2,-33.9332112874393,151.29910437823,2010-06-19 14:39:46,Blow,200,0,3,2
2,-33.9328489676243,151.299367735385,2010-06-19 14:39:54,Blow,238,0,4,2
2,-33.9328489676243,151.299367735385,2010-06-19 14:39:54,Blow,238,0,4,2
2,-33.9327459224342,151.299448816239,2010-06-19 14:40:08,Blow,231,0,2,3
2,-33.9327017602099,151.299483565177,2010-06-19 14:40:14,Blow,227,0,2,3
2,-33.9326649583562,151.299512522625,2010-06-19 14:40:19,Blow,225,0,3,2
2,-33.9326649583562,151.299512522625,2010-06-19 14:40:19,Blow,225,0,3,2
2,-33.9326428772441,151.299529897094,2010-06-19 14:40:22,Blow,226,0,3,2
2,-33.9325987150198,151.299564646031,2010-06-19 14:40:28,Blow,223,0,3,2
2,-33.9325692735369,151.29958781199,2010-06-19 14:40:32,Fluke Up Dive,223,0,3,2
2,-33.9324673402755,151.299624976584,2010-06-19 14:40:37,Blow,224,0,3,2
2,-33.9322838604049,151.299691872852,2010-06-19 14:40:46,Other,215,0,3,2
2,-33.9322023137958,151.299721604527,2010-06-19 14:40:50,Fluke Up Dive,206,0,3,2
2,-33.9323344734039,151.300101715208,2010-06-19 14:40:58,Arch Dive,223,0,3,2
2,-33.9323344734039,151.300101715208,2010-06-19 14:40:58,Arch Dive,223,0,3,2
2,-33.9320988760906,151.300238694499,2010-06-19 14:41:13,Blow,224,0,4,1
2,-33.9310308349374,151.300859667284,2010-06-19 14:42:21,Blow,213,0,3,1
2,-33.9308247992073,151.300800040021,2010-06-19 14:42:33,Blow,198,0,4,0
2,-33.9307732902747,151.300785133206,2010-06-19 14:42:36,Blow,194,0,4,0
2,-33.9304470670353,151.300690723373,2010-06-19 14:42:55,Blow,173,0,4,0
2,-33.9303745877873,151.300705979928,2010-06-19 14:42:59,Arch Dive,172,0,4,0
2,-33.9303745877873,151.300705979928,2010-06-19 14:42:59,Blow,172,0,4,0
2,-33.9302317056122,151.300751093384,2010-06-19 14:43:08,Fluke Up Dive,170,0,4,0
2,-33.9301523266261,151.300776156416,2010-06-19 14:43:13,Tail Swipe,166,0,4,0
2,-33.9303099084354,151.301027688202,2010-06-19 14:43:26,Tail Swipe,165,0,4,0
2,-33.9303826385013,151.301143779796,2010-06-19 14:43:32,Fluke Up Dive,165,0,4,1
2,-33.9292889202245,151.301578616239,2010-06-19 14:44:46,-,113,0,3,2
2,-33.9277518026462,151.302189737728,2010-06-19 14:46:30,-,118,0,4,1
2,-33.9271901635311,151.302413032117,2010-06-19 14:47:08,Blow,122,0,3,2
2,-33.927145823601,151.302430660622,2010-06-19 14:47:11,Blow,123,0,3,2
2,-33.9270469661045,151.302432495439,2010-06-19 14:47:14,Blow,123,0,3,2
2,-33.9270469661045,151.302432495439,2010-06-19 14:47:14,Blow,123,0,3,2
2,-33.9268492511114,151.302436165074,2010-06-19 14:47:20,Blow,117,0,5,0
2,-33.9268492511114,151.302436165074,2010-06-19 14:47:20,Blow,117,0,5,0
2,-33.9266844886173,151.302439223103,2010-06-19 14:47:25,Blow,107,0,5,0
2,-33.9264538211254,151.302443504343,2010-06-19 14:47:32,Arch Dive,95,1,4,0
2,-33.9257618186499,151.302456348064,2010-06-19 14:47:53,Blow,69,1,4,0
2,-33.925531151158,151.302460629304,2010-06-19 14:48:00,Blow,67,1,4,0
2,-33.9257341658786,151.302509156061,2010-06-19 14:48:02,Other,67,1,4,0
2,-33.9259371805991,151.302557682818,2010-06-19 14:48:04,Other,76,1,4,0
2,-33.92624170268,151.302630472953,2010-06-19 14:48:07,Blow,100,0,5,0
2,-33.9265462247608,151.302703263089,2010-06-19 14:48:10,Blow,129,0,5,0
2,-33.9267492394813,151.302751789845,2010-06-19 14:48:12,Blow,138,0,5,0
2,-33.926630773466,151.302762190234,2010-06-19 14:48:17,Blow,137,0,5,0
2,-33.9265360006537,151.302770510545,2010-06-19 14:48:21,Blow,136,0,5,0
2,-33.9264636092424,151.302928205351,2010-06-19 14:48:27,Blow,148,0,5,0
2,-33.9264153483016,151.303033335222,2010-06-19 14:48:31,Arch Dive,152,0,5,0
2,-33.9263275918749,151.302873386152,2010-06-19 14:48:40,Tail Swipe,143,0,5,0
2,-33.9261830359024,151.302975762339,2010-06-19 14:48:54,Blow,150,0,5,0
2,-33.9259749288795,151.303110372685,2010-06-19 14:48:57,Blow,140,0,5,0
2,-33.9259569899016,151.303294457801,2010-06-19 14:48:59,Blow,151,0,5,0
2,-33.9259569899016,151.303294457801,2010-06-19 14:48:59,Blow,151,0,5,0
2,-33.9257708559452,151.303344544011,2010-06-19 14:49:10,Blow,149,0,5,0
2,-33.9257031708702,151.303362757179,2010-06-19 14:49:14,Blow,148,0,5,0
2,-33.9256862496014,151.303367310471,2010-06-19 14:49:15,Blow,148,0,5,0
2,-33.9256185645264,151.303385523638,2010-06-19 14:49:19,Fluke Up Dive,147,0,5,0
2,-33.9256185645264,151.303385523638,2010-06-19 14:49:19,Blow,147,0,5,0
2,-33.92545569625,151.303466324084,2010-06-19 14:49:36,Blow,153,0,5,0
2,-33.9251397455623,151.303544277444,2010-06-19 14:50:25,-,123,0,5,0
2,-33.9241274137668,151.303794046373,2010-06-19 14:53:02,-,129,0,4,1
2,-33.9229796745337,151.304077223885,2010-06-19 14:56:00,-,207,0,2,3
2,-33.9221414380151,151.304284038922,2010-06-19 14:58:10,Blow,200,0,2,3
2,-33.9203568094926,151.300988714827,2010-06-19 14:58:22,Blow,247,0,2,3
2,-33.9190538030181,151.302725838881,2010-06-19 14:58:33,Blow,85,1,3,1
2,-33.9179877068117,151.304147122197,2010-06-19 14:58:42,Blow,90,1,4,0
2,-33.917877080591,151.304116603795,2010-06-19 14:58:45,Blow,100,0,5,0
2,-33.9177826576118,151.304067555862,2010-06-19 14:58:50,Blow,109,0,5,0
2,-33.9177162652944,151.30383018886,2010-06-19 14:58:55,Arch Dive,128,0,5,0
2,-33.9177162652944,151.30383018886,2010-06-19 14:58:55,Blow,128,0,5,0
2,-33.9176739607164,151.303567785235,2010-06-19 14:59:02,Fluke Up Dive,151,0,5,0
2,-33.91767981352,151.304564203105,2010-06-19 14:59:11,Blow,77,2,3,0
2,-33.91767981352,151.304564203105,2010-06-19 14:59:11,Blow,77,2,3,0
2,-33.9175007260044,151.304587584027,2010-06-19 14:59:22,Arch Dive,85,2,3,0
2,-33.9173160467013,151.304647360453,2010-06-19 14:59:37,Blow,93,1,4,0
