Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -37 sec
1,-33.8307773588317,151.286817469257,2010-10-30 10:15:00,Blow,1000,0,0,1
2,-33.8309882670851,151.315539257092,2010-10-30 10:34:09,Blow,400,0,0,1
2,-33.8358530495902,151.315075613322,2010-10-30 10:37:34,Blow,359,0,0,1
2,-33.8358530495902,151.315075613322,2010-10-30 10:37:34,Blow,359,0,0,1
2,-33.8359479721756,151.315066566614,2010-10-30 10:37:38,Blow,361,0,0,1
2,-33.8360903560538,151.315052996552,2010-10-30 10:37:44,Arch Dive,366,0,0,1
2,-33.8363276625175,151.315030379783,2010-10-30 10:37:54,Blow,368,0,0,1
2,-33.8363751238102,151.315025856429,2010-10-30 10:37:56,Blow,367,0,0,1
2,-33.836422585103,151.315021333075,2010-10-30 10:37:58,Arch Dive,365,0,0,1
2,-33.8365886996275,151.315005501337,2010-10-30 10:38:05,Blow,354,0,0,1
2,-33.8366124302739,151.31500323966,2010-10-30 10:38:06,Blow,356,0,0,1
2,-33.8366361609203,151.315000977983,2010-10-30 10:38:07,Blow,350,0,0,1
2,-33.8367774182262,151.315090450184,2010-10-30 10:38:22,Blow,325,0,0,1
2,-33.8367774182262,151.315090450184,2010-10-30 10:38:22,Blow,325,0,0,1
2,-33.8367774182262,151.315090450184,2010-10-30 10:38:22,Blow,325,0,0,1
2,-33.8367774182262,151.315090450184,2010-10-30 10:38:22,Arch Dive,325,0,0,1
2,-33.8368715897635,151.315150098318,2010-10-30 10:38:32,Blow,297,0,1,0
2,-33.8369751784545,151.315215711265,2010-10-30 10:38:43,Fluke Up Dive,275,0,1,0
2,-33.8374833907337,151.315101613312,2010-10-30 10:38:54,Arch Dive,250,0,1,1
2,-33.837731065918,151.315625146446,2010-10-30 10:39:10,Blow,250,0,2,1
2,-33.837731065918,151.315625146446,2010-10-30 10:39:10,Blow,250,0,2,1
2,-33.8377158643082,151.316026456736,2010-10-30 10:39:31,Blow,239,0,2,1
2,-33.8377158643082,151.316026456736,2010-10-30 10:39:31,Blow,239,0,2,1
2,-33.8384968254407,151.31593422594,2010-10-30 10:40:09,-,140,0,2,1
2,-33.8388462027894,151.315892964794,2010-10-30 10:40:26,Blow,100,1,2,0
2,-33.8392225335504,151.316431795956,2010-10-30 10:40:53,-,131,0,2,1
2,-33.8394455443717,151.316751103311,2010-10-30 10:41:09,Blow,155,0,2,0
2,-33.8394594825481,151.316771060021,2010-10-30 10:41:10,Blow,155,0,2,0
2,-33.8394594825481,151.316771060021,2010-10-30 10:41:10,Blow,155,0,2,0
2,-33.8395152352534,151.316850886859,2010-10-30 10:41:14,Blow,161,0,2,0
2,-33.8395152352534,151.316850886859,2010-10-30 10:41:14,Blow,161,0,2,0
2,-33.8394831186659,151.317150694326,2010-10-30 10:41:33,Blow,175,0,2,0
2,-33.8394831186659,151.317150694326,2010-10-30 10:41:33,Blow,175,0,2,0
2,-33.8394763572791,151.317213811687,2010-10-30 10:41:37,Blow,164,0,2,0
2,-33.8394746669324,151.317229591027,2010-10-30 10:41:38,Blow,161,0,2,0
2,-33.8394712862389,151.317261149708,2010-10-30 10:41:40,Fluke Up Dive,155,0,2,0
2,-33.8397032948478,151.317457836887,2010-10-30 10:41:52,Blow,149,0,2,0
2,-33.8397032948478,151.317457836887,2010-10-30 10:41:52,Blow,149,0,2,0
2,-33.839838633203,151.317572571075,2010-10-30 10:41:59,Arch Dive,146,0,2,0
2,-33.8400267754588,151.317669101476,2010-10-30 10:42:09,-,68,1,2,0
2,-33.8400644039099,151.317688407557,2010-10-30 10:42:11,Blow,72,1,2,0
2,-33.8403466172936,151.317833203158,2010-10-30 10:42:26,-,140,0,2,1
2,-33.8408922298353,151.318113141322,2010-10-30 10:42:55,-,135,0,2,1
2,-33.845445272425,151.320449177032,2010-10-30 10:46:57,Blow,207,0,2,1
2,-33.8456522289064,151.320555360473,2010-10-30 10:47:08,Blow,210,0,2,1
2,-33.8457463000343,151.320603625674,2010-10-30 10:47:13,Blow,211,0,2,1
2,-33.8458968138389,151.320680849995,2010-10-30 10:47:21,Other,214,0,2,1
2,-33.8459344422901,151.320700156075,2010-10-30 10:47:23,Other,214,0,2,1
2,-33.8460473276435,151.320758074316,2010-10-30 10:47:29,Blow,216,0,2,1
2,-33.8462730983504,151.320873910797,2010-10-30 10:47:41,Arch Dive,220,0,2,1
2,-33.8464073869272,151.321241543384,2010-10-30 10:47:54,Blow,200,0,3,0
2,-33.8464796961609,151.321439499393,2010-10-30 10:48:01,Blow,190,0,3,0
2,-33.8464796961609,151.321439499393,2010-10-30 10:48:01,Blow,190,0,3,0
2,-33.8466036548471,151.32177885255,2010-10-30 10:48:13,-,173,0,3,1
2,-33.8469342113438,151.322683794302,2010-10-30 10:48:45,Blow,91,1,2,1
2,-33.8469858607964,151.322825191451,2010-10-30 10:48:50,Blow,78,1,2,1
2,-33.8471098194826,151.323164544608,2010-10-30 10:49:02,Blow,47,1,2,1
