Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction 0 sec
1,-33.7503030790386,151.336009768065,2010-11-23 10:51:00,Blow,300,0,0,1
1,-33.7504215255845,151.336124290026,2010-11-23 10:51:09,Arch Dive,292,0,1,0
1,-33.7506584186764,151.336353333947,2010-11-23 10:51:27,-,279,0,1,0
1,-33.7510400797688,151.336722349154,2010-11-23 10:51:56,Fluke Up Dive,235,0,1,0
1,-33.7516586339532,151.337320408281,2010-11-23 10:52:43,Blow,150,0,1,0
1,-33.752060607218,151.337177645845,2010-11-23 10:53:18,Blow,146,0,1,0
1,-33.7520835771189,151.337169487992,2010-11-23 10:53:20,Blow,148,0,1,0
1,-33.7521443443767,151.337114106681,2010-11-23 10:53:26,Arch Dive,153,0,1,0
1,-33.7522658788923,151.337003344059,2010-11-23 10:53:38,Blow,160,0,1,0
1,-33.7522658788923,151.337003344059,2010-11-23 10:53:38,Blow,160,0,1,0
1,-33.7523366246478,151.337005187823,2010-11-23 10:53:43,Fluke Up Dive,161,0,1,0
1,-33.7524922653101,151.337009244103,2010-11-23 10:53:54,Fluke Up Dive,158,0,1,0
1,-33.7530288183452,151.337125404983,2010-11-23 10:54:23,Other,160,0,1,0
1,-33.753035340314,151.336928987078,2010-11-23 10:54:42,Blow,140,0,1,0
1,-33.7530373998831,151.336866960371,2010-11-23 10:54:48,Other,133,0,1,0
1,-33.7530404892368,151.336773920311,2010-11-23 10:54:57,-,124,0,1,1
1,-33.7530435785904,151.336680880251,2010-11-23 10:55:06,Blow,121,0,1,1
1,-33.7529416078602,151.336338371816,2010-11-23 10:55:46,Fluke Up Dive,122,0,1,1
1,-33.7533086171706,151.336384965136,2010-11-23 10:56:21,Blow,102,0,1,1
1,-33.7535169794581,151.336314854356,2010-11-23 10:56:47,Fluke Up Dive,100,0,1,1
1,-33.7536678532975,151.336311607096,2010-11-23 10:57:01,-,93,1,0,1
1,-33.7539696009762,151.336305112575,2010-11-23 10:57:29,Fluke Up Dive,86,1,0,1
1,-33.7547711938247,151.335939830344,2010-11-23 10:58:54,-,115,0,1,1
1,-33.7548466378575,151.33590545084,2010-11-23 10:59:02,Blow,114,0,1,1
1,-33.7551252689491,151.335881086834,2010-11-23 10:59:20,Arch Dive,114,0,1,1
1,-33.7551801919682,151.335805838477,2010-11-23 10:59:22,Fluke Up Dive,120,0,1,1
1,-33.755469740412,151.335773747673,2010-11-23 10:59:42,Arch Dive,111,0,1,1
1,-33.7555572768598,151.335708486409,2010-11-23 10:59:52,Fluke Up Dive,109,0,1,1
1,-33.7555922914389,151.335682381904,2010-11-23 10:59:56,Blow,109,0,1,1
1,-33.7561741796817,151.335673048675,2010-11-23 11:00:52,-,92,1,0,1
1,-33.7564339512186,151.335668882055,2010-11-23 11:01:17,-,82,1,0,1
